id,song,artist,genre,language
498,HipHop Song 498,Taylor Swift,HipHop,English
499,Rock Song 499,Yuvan Shankar Raja,Rock,Tamil
500,EDM Song 500,Neha Kakkar,EDM,Hindi
501,EDM Song 501,Atif Aslam,EDM,Hindi
502,EDM Song 502,Anirudh Ravichander,EDM,Telugu
503,Pop Song 503,Neha Kakkar,Pop,Hindi
504,HipHop Song 504,Devi Sri Prasad,HipHop,Telugu
505,Fusion Song 505,Thaman S,Fusion,Telugu
506,Romantic Song 506,Yuvan Shankar Raja,Romantic,Tamil
507,Fusion Song 507,Anirudh Ravichander,Fusion,Telugu
508,EDM Song 508,Devi Sri Prasad,EDM,Telugu
509,Fusion Song 509,Sid Sriram,Fusion,Telugu
510,Romantic Song 510,The Weeknd,Romantic,English
511,Romantic Song 511,Ed Sheeran,Romantic,English
512,Pop Song 512,Atif Aslam,Pop,Hindi
513,Pop Song 513,Thaman S,Pop,Telugu
514,HipHop Song 514,Shreya Ghoshal,HipHop,Hindi
515,EDM Song 515,Thaman S,EDM,Telugu
516,Pop Song 516,Yuvan Shankar Raja,Pop,Tamil
517,Pop Song 517,Ed Sheeran,Pop,English
518,HipHop Song 518,Arijit Singh,HipHop,Hindi
519,EDM Song 519,The Weeknd,EDM,English
520,EDM Song 520,Taylor Swift,EDM,English
